account_id,account_name,industry,country,employees,arr,created_at,churned
94f4dbb7-3293-365f-328d-ac2dded26fdf,"Carter, Andersen and Nichols",Logistics,PL,180,33937.97,2022-03-23,false
27b0edbf-2a6c-475e-0e8b-d5ac865d7a2b,Gutierrez PLC,Education,SE,241,24176.30,2022-09-02,false
8744b561-e477-d368-d461-504b50b4c971,Hall-Jones,Manufacturing,FR,76,15141.80,2025-10-08,false
1d55f2f1-f778-6a30-0651-3239722b6346,Holt-Rodriguez,Logistics,FI,129,241785.71,2021-12-29,false
1b0f007f-8361-066d-ca34-7e9f5bc53281,"Lopez, Bowers and Cardenas",Manufacturing,NL,12,16096.03,2024-01-06,false
74ec0890-6c7d-f8b8-8c81-1b85d3257423,Norton PLC,Logistics,SE,1300,111975.91,2025-10-22,false
fd00e4c9-23a2-faee-d42c-3dccf78c1fba,Proctor Ltd,Manufacturing,FR,123,6934.92,2024-03-27,false
0413088a-cd92-1193-2cc0-bd980c7dd844,"Perry, Fleming and Myers",Manufacturing,SE,130,234087.36,2021-08-01,false
d464e855-5830-8e6e-c1ef-c1f3fc28dfd3,Russell-Perry,Software,ES,492,281277.12,2023-01-31,false
5e46c5ba-73e9-8f7f-ccba-b90e4c1ffe0f,"Lewis, Ray and Henderson",Education,SE,237,23325.49,2023-06-04,false
548f6568-f438-6397-fe20-ad7e5196f3ad,Mueller Group,Logistics,SE,391,34410.26,2024-08-07,false
2968431a-915a-3473-0fa6-143a9c08b3f2,Davis LLC,Finance,FR,92,25689.77,2023-07-27,false
ca5a76d2-7720-a9a7-3a52-c94eef02731a,Richards Ltd,Logistics,ES,74,20802.64,2024-12-26,false
712eea40-712f-5a73-8917-bda74f2e14df,Hamilton-Alvarez,Logistics,NO,256,57439.42,2024-05-13,false
74e4166b-0441-b74b-73f8-3346be26c358,Ayala Ltd,Energy,FR,149,23440.27,2024-11-29,false
1fd433e2-9a98-3172-383f-937f1d8de604,Reyes and Sons,Software,FR,249,87779.29,2021-09-19,false
c8727a82-b3de-2f67-c50b-f4b46a3f3014,"Gay, Wallace and Johnson",Healthcare,GB,133,8751.02,2021-07-17,false
a8a074d5-8a53-d473-57a1-741d81761754,Baker-Ortiz,Healthcare,UA,94,887997.64,2021-08-25,false
ca487384-4561-0e18-967c-27f83ec95caf,Weiss-King,Healthcare,FR,63,10762.99,2026-01-30,false
