y,x,group
3,-2.0024430796120583,B
1,-1.202910941096082,A
0,-1.1379253783878724,C
2,0.18844311086416965,B
1,0.06527353003829393,B
2,0.5912219723819195,C
0,-0.9814663668345193,A
1,-0.8248316080497259,A
1,2.3973912229874794,C
0,0.6867461210435295,C
3,1.8561982003005255,C
6,0.20969817355323334,A
3,-0.034934213509280006,B
3,-0.3066995945301842,B
3,0.5509469894387645,C
4,2.482115248576274,C
1,-0.11877413204125774,B
0,-0.17294934035326529,A
1,0.1848457606211336,B
0,-1.3657424361948112,A
2,-0.45954142128952963,A
3,-0.39456887457761264,B
3,0.29782007960338214,C
0,0.6944259032388831,A
4,1.1191676636113197,C
0,-0.006292838192147943,C
0,0.6512060836440753,B
5,0.13118726827167446,B
0,-0.7189287791075062,C
3,-1.9287841813159108,C
1,0.42754914406940886,A
1,-0.42486852188811003,B
0,-0.12835862076835272,C
1,0.3478989252882086,A
6,-0.40223048024236685,A
2,0.463081565840867,A
4,0.4633126639718171,C
0,0.865382189758704,C
1,0.1555329163346233,C
1,-1.483095793881485,A
12,-0.6538388710056385,A
1,1.0034677199999766,A
3,0.2715378130237281,A
0,1.0229006131389584,B
0,1.987810649760115,A
4,0.9203197674419566,B
3,-0.01072044341010714,C
5,0.7176505269492793,B
1,-0.8541195726172984,A
3,1.6321613331402178,A
1,0.19924644271241393,C
1,-1.207644822465713,B
0,0.9031824749421077,A
2,-0.004017127381405525,A
1,1.170261203825448,B
1,-0.1476070592294707,B
1,-0.09900316595998129,C
2,0.5907319681401675,A
1,1.6926463794117712,A
0,-1.171633331361794,B
0,-0.41897272588102824,A
0,-0.09236811490235818,B
0,0.261657009882809,C
0,-1.5208323295915454,B
0,-0.28064644835749974,C
0,0.3362536322597961,C
2,-0.33525235154522615,A
7,0.437284384607463,B
5,-0.8074006303018113,A
2,0.7938949222521648,C
0,0.4176208279350788,A
1,-0.32118368196035035,C
0,0.09302294667624814,B
0,0.5732962727183819,C
6,-1.5535992068775577,B
1,0.23456546984822352,B
2,-1.5743720388644862,A
5,1.1582771378403611,C
3,0.961975654555949,A
0,-1.0486959522141956,C
4,0.7545982893711918,C
3,0.30414396466681526,B
0,-0.07670704639026148,C
3,0.19840969604510164,A
2,-0.008645852241084103,C
0,-1.6368392492314752,C
0,1.5173638458203218,C
0,-1.40275735681749,B
0,-1.087421189456185,C
1,1.2089183930173004,C
2,-1.7273098549824126,C
1,-0.4356638415663594,B
0,-0.5482607912079585,C
0,-0.7356883094878852,A
0,-0.3641901003237898,C
2,0.16534799560025917,A
5,-0.4101349718273507,A
0,-1.1378003213638517,A
1,1.0980165074504253,A
2,-0.46919697893974627,A
0,0.36518407172077794,C
2,-0.723760481045456,A
2,0.7325343188092382,B
1,0.6956407269656204,B
2,0.49951213925083005,B
3,-0.7968920359758136,B
13,0.7580311130140098,A
1,-0.08782977177223077,A
0,0.44314201984077506,C
1,0.4108758361727067,A
2,0.44504114007251866,A
7,-0.14213184805902912,A
0,-1.3040084393350881,B
0,0.8883009849019927,C
5,1.0559495700481794,C
2,-1.7258769126831242,B
1,-0.09088971249983717,C
1,0.17084661238217205,C
3,-0.6990242079799479,B
0,0.7595894031700064,C
0,-0.44203180664789854,C
1,-1.031075722338844,B
0,-0.3460045419492386,C
0,-0.7207845963240536,A
3,0.1475654354005667,C
2,0.8102632564740034,A
0,0.13859059123134534,A
0,-2.8519842105194293,C
4,1.3169861831452965,B
1,-0.41527887340185515,C
0,-0.21245179084052507,A
13,0.4911542500242842,B
2,-1.113082671708189,A
1,1.6632276816122862,A
0,-1.4223445143826574,C
1,-0.21775391532939484,B
6,0.6922654160798785,B
0,0.12439217498328901,C
3,-0.27928816509882903,C
10,0.6379831220458281,B
0,0.8718733691298334,C
0,1.5433650175219789,B
6,0.15538421113019407,C
2,-1.4582680516654327,B
0,0.04266712233212377,A
1,0.3523384815396976,A
1,-1.0023103369103223,C
0,0.6396046218205267,A
2,1.0912126772818218,B
0,-0.22027182725733777,B
